Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=515df2b47a4a0845bb39f8c8c33eea05&df=true&ec=1&dc=&oc=0&pb=1&rc=0&DATASET=133&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=SEARCHRESULTS&q=m2&type=series&legendRef=reference&legendPub=published&legendNor=
,RTD.M.US.Y.M_M2.U
1989May,3011.6
1989Apr,3006.0
1989Mar,2999.7
1989Feb,2992.2
1989Jan,2991.7
1988Dec,2988.2
1988Nov,2980.2
1988Oct,2965.3
1988Sep,2956.9
1988Aug,2952.0
1988Jul,2947.2
1988Jun,2938.4
1988May,2926.0
1988Apr,2910.7
1988Mar,2890.7
1988Feb,2870.4
1988Jan,2847.4
1987Dec,2826.4
1987Nov,2818.9
1987Oct,2814.8
1987Sep,2799.5
1987Aug,2788.2
1987Jul,2779.0
1987Jun,2774.6
1987May,2772.9
1987Apr,2767.7
1987Mar,2753.7
1987Feb,2747.5
1987Jan,2743.9
1986Dec,2728.0
1986Nov,2701.3
1986Oct,2687.4
1986Sep,2667.8
1986Aug,2646.5
1986Jul,2626.6
1986Jun,2605.0
1986May,2584.8
1986Apr,2557.8
1986Mar,2533.1
1986Feb,2512.9
1986Jan,2502.1
1985Dec,2492.1
1985Nov,2477.8
1985Oct,2468.0
1985Sep,2456.4
1985Aug,2444.0
1985Jul,2429.5
1985Jun,2412.6
1985May,2389.5
1985Apr,2375.4
1985Mar,2366.2
1985Feb,2354.1
1985Jan,2332.4
1984Dec,2306.4
1984Nov,2281.4
1984Oct,2258.9
1984Sep,2244.4
1984Aug,2230.4
1984Jul,2223.5
1984Jun,2215.1
1984May,2204.1
1984Apr,2191.7
1984Mar,2175.2
1984Feb,2158.2
1984Jan,2138.2
1983Dec,2123.5
1983Nov,2112.3
1983Oct,2099.3
1983Sep,2083.2
1983Aug,2074.0
1983Jul,2064.8
1983Jun,2053.5
1983May,2043.1
1983Apr,2028.6
1983Mar,2015.2
1983Feb,1996.8
1983Jan,1959.4
1982Dec,1905.9
1982Nov,1883.7
1982Oct,1869.7
1982Sep,1858.4
1982Aug,1845.2
1982Jul,1831.5
1982Jun,1826.0
1982May,1815.4
1982Apr,1803.9
1982Mar,1786.5
1982Feb,1774.5
1982Jan,1770.4
1981Dec,1755.5
1981Nov,1736.1
1981Oct,1721.8
1981Sep,1706.0
1981Aug,1694.3
1981Jul,1681.9
1981Jun,1670.3
1981May,1664.2
1981Apr,1659.2
1981Mar,1636.6
1981Feb,1618.7
1981Jan,1606.9
1980Dec,1599.8
1980Nov,1595.8
1980Oct,1584.8
1980Sep,1574.0
1980Aug,1561.5
1980Jul,1545.5
1980Jun,1529.2
1980May,1512.3
1980Apr,1502.2
1980Mar,1499.8
1980Feb,1494.6
1980Jan,1482.7
1979Dec,1473.7
1979Nov,1465.9
1979Oct,1460.4
1979Sep,1454.1
1979Aug,1446.6
1979Jul,1434.8
1979Jun,1423.0
1979May,1410.2
1979Apr,1402.1
1979Mar,1387.8
1979Feb,1377.8
1979Jan,1371.6
1978Dec,1366.0
1978Nov,1359.1
1978Oct,1352.3
1978Sep,1345.0
1978Aug,1333.5
1978Jul,1324.1
1978Jun,1318.5
1978May,1310.5
1978Apr,1300.4
1978Mar,1292.2
1978Feb,1285.5
1978Jan,1279.7
1977Dec,1270.3
1977Nov,1262.4
1977Oct,1254.0
1977Sep,1246.2
1977Aug,1237.0
1977Jul,1226.7
1977Jun,1217.8
1977May,1209.0
1977Apr,1199.6
1977Mar,1188.5
1977Feb,1177.6
1977Jan,1165.2
1976Dec,1152.0
1976Nov,1138.2
1976Oct,1125.0
1976Sep,1110.8
1976Aug,1098.7
1976Jul,1086.3
1976Jun,1077.6
1976May,1072.1
1976Apr,1060.8
1976Mar,1050.0
1976Feb,1040.3
1976Jan,1026.6
1975Dec,1016.2
1975Nov,1006.9
1975Oct,997.8
1975Sep,991.5
1975Aug,983.1
1975Jul,975.1
1975Jun,963.0
1975May,947.9
1975Apr,935.1
1975Mar,925.0
1975Feb,914.1
1975Jan,906.3
1974Dec,902.1
1974Nov,898.6
1974Oct,893.3
1974Sep,887.9
1974Aug,884.1
1974Jul,881.4
1974Jun,877.8
1974May,874.6
1974Apr,872.9
1974Mar,870.1
1974Feb,864.2
1974Jan,859.7
1973Dec,855.5
1973Nov,848.9
1973Oct,842.6
1973Sep,839.3
1973Aug,838.8
1973Jul,836.5
1973Jun,833.3
1973May,826.8
1973Apr,819.7
1973Mar,815.3
1973Feb,814.1
1973Jan,810.3
1972Dec,802.3
1972Nov,793.9
1972Oct,786.9
1972Sep,778.3
1972Aug,768.7
1972Jul,759.5
1972Jun,749.7
1972May,743.3
1972Apr,738.4
1972Mar,733.5
1972Feb,725.7
1972Jan,717.7
1971Dec,710.3
1971Nov,704.6
1971Oct,698.4
1971Sep,692.5
1971Aug,685.5
1971Jul,679.6
1971Jun,673.0
1971May,666.7
1971Apr,658.4
1971Mar,649.9
1971Feb,641.0
1971Jan,632.9
1970Dec,626.5
1970Nov,621.1
1970Oct,616.4
1970Sep,611.2
1970Aug,604.9
1970Jul,599.1
1970Jun,595.2
1970May,591.5
1970Apr,588.4
1970Mar,587.3
1970Feb,586.3
1970Jan,589.6
