Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=a572104ed65eb1b897e1847ff1c6ec0f&df=true&ec=1&dc=&oc=0&pb=1&rc=0&DATASET=133&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=SEARCHRESULTS&q=m3&type=series&legendRef=reference&legendPub=published&legendNor=
,RTD.M.S0.Y.M_M3_V_NC.E
2009Mar,9406751
2009Feb,9414395
2009Jan,9400007
2008Dec,9423780
2008Nov,9367448
2008Oct,9326351
2008Sep,9198869
2008Aug,9133022
2008Jul,9108827
2008Jun,9076946
2008May,9060572
2008Apr,8972245
2008Mar,8877089
2008Feb,8805948
2008Jan,8785716
2007Dec,8691439
2007Nov,8593524
2007Oct,8500092
2007Sep,8395223
2007Aug,8303861
2007Jul,8298009
2007Jun,8242225
2007May,8166526
2007Apr,8076317
2007Mar,8014409
2007Feb,7856264
2007Jan,7824797
2006Dec,7801675
2006Nov,7629036
2006Oct,7568435
2006Sep,7545250
2006Aug,7440735
2006Jul,7417857
2006Jun,7407431
2006May,7371811
2006Apr,7340883
2006Mar,7212527
2006Feb,7152523
2006Jan,7120287
2005Dec,7130670
2005Nov,7001166
2005Oct,6968588
2005Sep,6925241
2005Aug,6869183
2005Jul,6889246
2005Jun,6837023
2005May,6765830
2005Apr,6713297
2005Mar,6627776
2005Feb,6599810
2005Jan,6581635
2004Dec,6568176
2004Nov,6469650
2004Oct,6436042
2004Sep,6376641
2004Aug,6345512
2004Jul,6362249
2004Jun,6334158
2004May,6303753
2004Apr,6279744
2004Mar,6225884
2004Feb,6197448
2004Jan,6172394
2003Dec,6180922
2003Nov,6119711
2003Oct,6069018
2003Sep,6017976
2003Aug,6027513
2003Jul,6028347
2003Jun,6020728
2003May,6021151
2003Apr,5977504
2003Mar,5889676
2003Feb,5845442
2003Jan,5805923
2002Dec,5807825
2002Nov,5714501
2002Oct,5643922
2002Sep,5622655
2002Aug,5576687
2002Jul,5562731
2002Jun,5569629
2002May,5549587
2002Apr,5506616
2002Mar,5468342
2002Feb,5431228
2002Jan,5430255
2001Dec,5446737
2001Nov,5343832
2001Oct,5289730
2001Sep,5263161
2001Aug,5211887
2001Jul,5209922
2001Jun,5216143
2001May,5174256
2001Apr,5135593
2001Mar,5090546
2001Feb,5047544
2001Jan,5026837
2000Dec,4910328
2000Nov,4832421
2000Oct,4804690
2000Sep,4794882
2000Aug,4798357
2000Jul,4802374
2000Jun,4805383
2000May,4820008
2000Apr,4826279
2000Mar,4768884
2000Feb,4738473
2000Jan,4723291
1999Dec,4708947
1999Nov,4625175
1999Oct,4578653
1999Sep,4561347
1999Aug,4540771
1999Jul,4563119
1999Jun,4555934
1999May,4529333
1999Apr,4496031
1999Mar,4459586
1999Feb,4447594
1999Jan,4463577
1998Dec,4471961
1998Nov,4398809
1998Oct,4368588
1998Sep,4336678
1998Aug,4341651
1998Jul,4352855
1998Jun,4359628
1998May,4339308
1998Apr,4311419
1998Mar,4275571
1998Feb,4265866
1998Jan,4257987
1997Dec,4267311
1997Nov,4186233
1997Oct,4147939
1997Sep,4137256
1997Aug,4122478
1997Jul,4137802
1997Jun,4139717
1997May,4112046
1997Apr,4076852
1997Mar,4070899
1997Feb,4059918
1997Jan,4052403
1996Dec,4090345
1996Nov,3998359
1996Oct,3970778
1996Sep,3973985
1996Aug,3956604
1996Jul,3953451
1996Jun,3966021
1996May,3946536
1996Apr,3940690
1996Mar,3931433
1996Feb,3916561
1996Jan,3906893
1995Dec,3937403
1995Nov,3823433
1995Oct,3785241
1995Sep,3776711
1995Aug,3754951
1995Jul,3751150
1995Jun,3759170
1995May,3734600
1995Apr,3719385
1995Mar,3702886
1995Feb,3706630
1995Jan,3695976
1994Dec,3735799
1994Nov,3659473
1994Oct,3639444
1994Sep,3624824
1994Aug,3627118
1994Jul,3651126
1994Jun,3651632
1994May,3634783
1994Apr,3637715
1994Mar,3629400
1994Feb,3612780
1994Jan,3616734
1993Dec,3651774
1993Nov,3546318
1993Oct,3514086
1993Sep,3488618
1993Aug,3476439
1993Jul,3480083
1993Jun,3484325
1993May,3472703
1993Apr,3450204
1993Mar,3444200
1993Feb,3404686
1993Jan,3397738
1992Dec,3433178
1992Nov,3348624
1992Oct,3309880
1992Sep,3305736
1992Aug,3261386
1992Jul,3262036
1992Jun,3254263
1992May,3234778
1992Apr,3207099
1992Mar,3175420
1992Feb,3157064
1992Jan,3150259
1991Dec,3204633
1991Nov,3093703
1991Oct,3056240
1991Sep,3046743
1991Aug,3022624
1991Jul,3021277
1991Jun,3015354
1991May,2975117
1991Apr,2969617
1991Mar,2958242
1991Feb,2948421
1991Jan,2937733
1990Dec,2979949
1990Nov,2865228
1990Oct,2841866
1990Sep,2833827
1990Aug,2792895
1990Jul,2802055
1990Jun,2788776
1990May,2663708
1990Apr,2657070
1990Mar,2637361
1990Feb,2640018
1990Jan,2637961
1989Dec,2659927
1989Nov,2557686
1989Oct,2529928
1989Sep,2515811
1989Aug,2497201
1989Jul,2504354
1989Jun,2477739
1989May,2446497
1989Apr,2433580
1989Mar,2410377
1989Feb,2397747
1989Jan,2393130
1988Dec,2410010
1988Nov,2341909
1988Oct,2319681
1988Sep,2294247
1988Aug,2282197
1988Jul,2285437
1988Jun,2264736
1988May,2246777
1988Apr,2228918
1988Mar,2203441
1988Feb,2204634
1988Jan,2209190
1987Dec,2221564
1987Nov,2162754
1987Oct,2136405
1987Sep,2125065
1987Aug,2109087
1987Jul,2102927
1987Jun,2099060
1987May,2081895
1987Apr,2063878
1987Mar,2049117
1987Feb,2040476
1987Jan,2042741
1986Dec,2058939
1986Nov,1999949
1986Oct,1973445
1986Sep,1964933
1986Aug,1949333
1986Jul,1948061
1986Jun,1941360
1986May,1919654
1986Apr,1913747
1986Mar,1917335
1986Feb,1899678
1986Jan,1903914
1985Dec,1927935
1985Nov,1844716
1985Oct,1832386
1985Sep,1830823
1985Aug,1813648
1985Jul,1821939
1985Jun,1817711
1985May,1793439
1985Apr,1795251
1985Mar,1789683
1985Feb,1781459
1985Jan,1775445
1984Dec,1788789
1984Nov,1713265
1984Oct,1702022
1984Sep,1703224
1984Aug,1676482
1984Jul,1680205
1984Jun,1667878
1984May,1653436
1984Apr,1643651
1984Mar,1630393
1984Feb,1630341
1984Jan,1633989
1983Dec,1647621
1983Nov,1584090
1983Oct,1567503
1983Sep,1553088
1983Aug,1547855
1983Jul,1552104
1983Jun,1538656
1983May,1524104
1983Apr,1513358
1983Mar,1504016
1983Feb,1507165
1983Jan,1505476
1982Dec,1511643
1982Nov,1450665
1982Oct,1436243
1982Sep,1428063
1982Aug,1415708
1982Jul,1411299
1982Jun,1404812
1982May,1384283
1982Apr,1371844
1982Mar,1366808
1982Feb,1360752
1982Jan,1355428
1981Dec,1356895
1981Nov,1304605
1981Oct,1286505
1981Sep,1282692
1981Aug,1268614
1981Jul,1269429
1981Jun,1268356
1981May,1258407
1981Apr,1242420
1981Mar,1235037
1981Feb,1226929
1981Jan,1219922
1980Dec,1230451
1980Nov,1186620
1980Oct,1159637
1980Sep,1155084
1980Aug,1147865
1980Jul,1148139
1980Jun,1142412
1980May,1127563
1980Apr,1121677
1980Mar,1119526
1980Feb,1107384
1980Jan,1107100
