Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=a572104ed65eb1b897e1847ff1c6ec0f&df=true&ec=1&dc=&oc=0&pb=1&rc=0&DATASET=133&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=SEARCHRESULTS&q=m3&type=series&legendRef=reference&legendPub=published&legendNor=
,RTD.M.S0.N.M_M3_V_NC.E
2009Feb,9441517
2009Jan,9407327
2008Dec,9401865
2008Nov,9385120
2008Oct,9369839
2008Sep,9221870
2008Aug,9144343
2008Jul,9106893
2008Jun,9038788
2008May,9016328
2008Apr,8945794
2008Mar,8869929
2008Feb,8846385
2008Jan,8796005
2007Dec,8650036
2007Nov,8625933
2007Oct,8540042
2007Sep,8418670
2007Aug,8341648
2007Jul,8288834
2007Jun,8204711
2007May,8130319
2007Apr,8037416
2007Mar,8011111
2007Feb,7892169
2007Jan,7837918
2006Dec,7756980
2006Nov,7648187
2006Oct,7595376
2006Sep,7574861
2006Aug,7473602
2006Jul,7401476
2006Jun,7385921
2006May,7347410
2006Apr,7306725
2006Mar,7224264
2006Feb,7172007
2006Jan,7118936
2005Dec,7087688
2005Nov,7026011
2005Oct,6991045
2005Sep,6972348
2005Aug,6910851
2005Jul,6876098
2005Jun,6807158
2005May,6731012
2005Apr,6682171
2005Mar,6628904
2005Feb,6608114
2005Jan,6573488
2004Dec,6540370
2004Nov,6484681
2004Oct,6461295
2004Sep,6417367
2004Aug,6375262
2004Jul,6354328
2004Jun,6315025
2004May,6265034
2004Apr,6260857
2004Mar,6232560
2004Feb,6201786
2004Jan,6165335
2003Dec,6148767
2003Nov,6134302
2003Oct,6110399
2003Sep,6057142
2003Aug,6054734
2003Jul,6028830
2003Jun,5990357
2003May,5983094
2003Apr,5957074
2003Mar,5880069
2003Feb,5857436
2003Jan,5809186
2002Dec,5767431
2002Nov,5733178
2002Oct,5680917
2002Sep,5660669
2002Aug,5606774
2002Jul,5568190
2002Jun,5539079
2002May,5523451
2002Apr,5482865
2002Mar,5453968
2002Feb,5431456
2002Jan,5424797
2001Dec,5402883
2001Nov,5371237
2001Oct,5334043
2001Sep,5296229
2001Aug,5249306
2001Jul,5214090
2001Jun,5192173
2001May,5142003
2001Apr,5111811
2001Mar,5079966
2001Feb,5049678
2001Jan,5024537
2000Dec,4859203
2000Nov,4851550
2000Oct,4847849
2000Sep,4830524
2000Aug,4828781
2000Jul,4803137
2000Jun,4788838
2000May,4795425
2000Apr,4802801
2000Mar,4766006
2000Feb,4735956
2000Jan,4713205
1999Dec,4667221
1999Nov,4646110
1999Oct,4616547
1999Sep,4594744
1999Aug,4572050
1999Jul,4565970
1999Jun,4537054
1999May,4505279
1999Apr,4488386
1999Mar,4453500
1999Feb,4436979
1999Jan,4447197
1998Dec,4422982
1998Nov,4417203
1998Oct,4410036
1998Sep,4371401
1998Aug,4368163
1998Jul,4362649
1998Jun,4340943
1998May,4316033
1998Apr,4298513
1998Mar,4267921
1998Feb,4255439
1998Jan,4244379
1997Dec,4222019
1997Nov,4201492
1997Oct,4191990
1997Sep,4169047
1997Aug,4146012
1997Jul,4143617
1997Jun,4121578
1997May,4097362
1997Apr,4068933
1997Mar,4061573
1997Feb,4054012
1997Jan,4040762
1996Dec,4037575
1996Nov,4016115
1996Oct,4007200
1996Sep,4002704
1996Aug,3982902
1996Jul,3963579
1996Jun,3948661
1996May,3940474
1996Apr,3933563
1996Mar,3919392
1996Feb,3906146
1996Jan,3891983
1995Dec,3877110
1995Nov,3840964
1995Oct,3820462
1995Sep,3804491
1995Aug,3781841
1995Jul,3758401
1995Jun,3752177
1995May,3730389
1995Apr,3709760
1995Mar,3698901
1995Feb,3700799
1995Jan,3679631
1994Dec,3672401
1994Nov,3678013
1994Oct,3670601
1994Sep,3656168
1994Aug,3656590
1994Jul,3656552
1994Jun,3642375
1994May,3632446
1994Apr,3633025
1994Mar,3622879
1994Feb,3606066
1994Jan,3598429
1993Dec,3588556
1993Nov,3562936
1993Oct,3540903
1993Sep,3515151
1993Aug,3503529
1993Jul,3487064
1993Jun,3479485
1993May,3469532
1993Apr,3450523
1993Mar,3441196
1993Feb,3396757
1993Jan,3378259
1992Dec,3365086
1992Nov,3361978
1992Oct,3336785
1992Sep,3332285
1992Aug,3285469
1992Jul,3271402
1992Jun,3249564
1992May,3232729
1992Apr,3206393
1992Mar,3174957
1992Feb,3152683
1992Jan,3137429
1991Dec,3132988
1991Nov,3109460
1991Oct,3083316
1991Sep,3064203
1991Aug,3050014
1991Jul,3025478
1991Jun,3003602
1991May,2986959
1991Apr,2969291
1991Mar,2954443
1991Feb,2947536
1991Jan,2923138
1990Dec,2907362
1990Nov,2884653
1990Oct,2864450
1990Sep,2846434
1990Aug,2823790
1990Jul,2804287
1990Jun,2786501
1990May,2670162
1990Apr,2655640
1990Mar,2644762
1990Feb,2636316
1990Jan,2621156
1989Dec,2593728
1989Nov,2568371
1989Oct,2548639
1989Sep,2534023
1989Aug,2519586
1989Jul,2502846
1989Jun,2480570
1989May,2452172
1989Apr,2431297
1989Mar,2423922
1989Feb,2393302
1989Jan,2374823
1988Dec,2358041
1988Nov,2349769
1988Oct,2334535
1988Sep,2315101
1988Aug,2300792
1988Jul,2280986
1988Jun,2262415
1988May,2252687
1988Apr,2234863
1988Mar,2210937
1988Feb,2197901
1988Jan,2186450
1987Dec,2173838
1987Nov,2168100
1987Oct,2155101
1987Sep,2137689
1987Aug,2123852
1987Jul,2109659
1987Jun,2095216
1987May,2084022
1987Apr,2069485
1987Mar,2053663
1987Feb,2038106
1987Jan,2026350
1986Dec,2011545
1986Nov,2004194
1986Oct,1995452
1986Sep,1976548
1986Aug,1961502
1986Jul,1950177
1986Jun,1936535
1986May,1927726
1986Apr,1917327
1986Mar,1919041
1986Feb,1899853
1986Jan,1891332
1985Dec,1882118
1985Nov,1856300
1985Oct,1849577
1985Sep,1840516
1985Aug,1831278
1985Jul,1823517
1985Jun,1812216
1985May,1804082
1985Apr,1797511
1985Mar,1788333
1985Feb,1776558
1985Jan,1758943
1984Dec,1742791
1984Nov,1729206
1984Oct,1717983
1984Sep,1711302
1984Aug,1697027
1984Jul,1681799
1984Jun,1668177
1984May,1659252
1984Apr,1643658
1984Mar,1633342
1984Feb,1623473
1984Jan,1616845
1983Dec,1607971
1983Nov,1595252
1983Oct,1581495
1983Sep,1569280
1983Aug,1563091
1983Jul,1550957
1983Jun,1538465
1983May,1527129
1983Apr,1516179
1983Mar,1505297
1983Feb,1498226
1983Jan,1488249
1982Dec,1478452
1982Nov,1461236
1982Oct,1448567
1982Sep,1440564
1982Aug,1429591
1982Jul,1414886
1982Jun,1403542
1982May,1385084
1982Apr,1376835
1982Mar,1366026
1982Feb,1350759
1982Jan,1338805
1981Dec,1324037
1981Nov,1313067
1981Oct,1302173
1981Sep,1293408
1981Aug,1280121
1981Jul,1275262
1981Jun,1266536
1981May,1257592
1981Apr,1244293
1981Mar,1233640
1981Feb,1222048
1981Jan,1209209
1980Dec,1198927
1980Nov,1192713
1980Oct,1176441
1980Sep,1164470
1980Aug,1157482
1980Jul,1150687
1980Jun,1139157
1980May,1130672
1980Apr,1122639
1980Mar,1117228
1980Feb,1105520
1980Jan,1097404
